record_id	brand	model_name	variant_or_state	period	kind	differences	evidence_status	source_url	note
REC-146	BOSS	HM-2 Heavy Metal	Japan production state	1983-1988	Production / regional	BOSS HM-2 began in 1983 and historical production records place the first state in Japan through 1988.	VERIFIED	https://www.boss.info/us/promos/40th_anniversary_compact_pedals/	Pair with specimen country marking when identifying production state.
REC-147	BOSS	HM-2 Heavy Metal	Taiwan production state	1988-1991	Production / regional	Historical references place HM-2 production in Taiwan from 1988 until discontinuation in 1991.	RESEARCH	https://reverb.com/news/story-hm2-dark-side-boss	Do not infer an exact factory handover date from undated examples.
REC-148	BOSS	DS-2 TURBO Distortion	Japan production state	1987-1989	Production / regional	BOSS states that DS-2 was released in 1987; Effects Database documents Japanese production before the 1989 Taiwan move.	VERIFIED	https://www.boss.info/us/products/ds-2/	Country and date should remain specimen-level where possible.
REC-149	BOSS	DS-2 TURBO Distortion	Taiwan production state	1989-present transition	Production / regional	Effects Database documents DS-2 production moving from Japan to Taiwan in 1989; later examples continued across subsequent regions.	RESEARCH	https://www.effectsdatabase.com/model/boss/compact/ds2	Keep later Malaysia-era records separate when specimen evidence is available.
REC-150	Ibanez	DS10 Distortion Charger	Power Series state	1986-1990	Model / chronology	ToneHome documents DS10 production from 1986 to 1990, with a Japan example dated 1987.	RESEARCH	https://www.tonehome.de/ibanez/power-series-10/ds10-dist-charger/	Useful companion to the 1986 Ibanez catalog entry.
REC-151	Ibanez	MT10 Mostortion	Power Series state	1990-1993	Model / chronology	Premier Guitar and ToneHome both identify the short-lived MT10 Mostortion as a 1990-1993 product.	VERIFIED	https://www.premierguitar.com/cascade-pedals-unveils-the-hosstortion	Rare, high-collectibility production window.
REC-152	DigiTech	PDS1550 Programmable Distortion	Contemporary advertising state	1987	Digital / programmable	A June 1987 Musician magazine advertisement documents the PDS1550 as a programmable dual-distortion/overdrive pedal with delay.	VERIFIED	https://www.worldradiohistory.com/Archive-All-Music/Musician/1980/Musician-1987-06.pdf	Contemporary advertising is the chronology anchor; avoid publishing internal programming details beyond identification need.
REC-153	BOSS	FZ-2 HYPER Fuzz	Compact-era fuzz	1993-1997	Model / chronology	BOSS official anniversary chronology places FZ-2 HYPER Fuzz in production from 1993 to 1997.	VERIFIED	https://www.boss.info/us/promos/40th_anniversary_compact_pedals/	Keep separate from earlier FZ-1/FZ-1A lineage.
REC-154	BOSS	HM-3 HYPER Metal	Compact-era metal	1993-1999	Model / chronology	Roland support documents HM-3 HYPER Metal production from 1993 to 1999.	VERIFIED	https://support.roland.com/hc/en-us/articles/201967499/	Useful bridge from HM-2 into the 1990s high-gain generation.
REC-155	BOSS	OD-2R TURBO OverDrive	Revised 1990s state	1994-1999	Model / chronology	BOSS official anniversary chronology places OD-2R TURBO OverDrive in production from 1994 to 1999.	VERIFIED	https://www.boss.info/us/promos/40th_anniversary_compact_pedals/	Treat OD-2R as a separate retail generation from OD-2.
