canonical_builder	catalog_status	model_or_label	role	category	known_years_or_corridor	relationship_notes	evidence_state	source_trail
Applied Audio Products Inc.	EVIDENCE_QUALIFIED	Conrad Fuzzy Fury	OEM/private-label state	fuzz	1969-1970	David Wexler & Co. distribution catalog state; Tone Machines Blog states the Conrad set was built by Applied Audio.	VERIFIED_RELATIONSHIP	Tone Machines Blog, September 2025 Applied article
Applied Audio Products Inc.	EVIDENCE_QUALIFIED	Conrad Bass Hawk	OEM/private-label state	bass fuzz/boost	1969-1970	David Wexler & Co. distribution catalog state; Tone Machines Blog states Applied-built. Keep as bass dirt.	VERIFIED_RELATIONSHIP	Tone Machines Blog, September 2025 Applied article
Applied Audio Products Inc.	DISCOVERY	Conrad Sky Hawk	OEM/private-label state	fuzz/boost	1969-1970 catalog appearance	Appears in both 1969 and 1970 catalogs according to Tone Machines Blog, but physical specimens have not been located by the researcher. Do not treat production as confirmed beyond catalog evidence.	DISCOVERY_ONLY	Tone Machines Blog, September 2025 Applied article
Applied Audio Products Inc.	EVIDENCE_QUALIFIED	Kimberly Fuzz Box and Volume Expander v2	OEM/private-label state	fuzz/volume	late 1960s	Effects Database separates a v1 LIMMCO state from a v2 Applied state. This row represents the Applied manufacturing layer only.	VERIFIED_RELATIONSHIP	Effects Database, Kimberly Fuzz Box and Volume Expander; Tone Machines Blog, September 2025 Applied article
Applied Audio Products Inc.	EVIDENCE_QUALIFIED	Audio Designs Fuzzound	OEM/private-label state	fuzz	late 1960s-early 1970s	Effects Database links this product to Applied. Exact date corridor and distributor relationship remain incompletely documented in the current pass.	VERIFIED_RELATIONSHIP;DATE_UNRESOLVED	Effects Database, UMI/Applied relationship pages
Applied Audio Products Inc.	EVIDENCE_QUALIFIED	Lou Rose Combo-Fuzz	private-label/local retailer state	fuzz/treble boost	1968 onward	Local Edison, NJ retail/private-label state sold through Lou Rose Music Center. Effects Database attributes manufacture to Applied Audio Products Inc.	VERIFIED_RELATIONSHIP	Effects Database, Lou Rose Combo-Fuzz
Applied Audio Products Inc.	EVIDENCE_QUALIFIED	Applied/Japan-style wedge Rogue enclosure family	family/enclosure lineage	fuzz	late 1960s-early 1970s	Research note only: Rogue, Banshee, Nomad and later Hohner MF-50 share an enclosure family, but shared enclosure does not establish identical circuits or exact chronological identity.	RELATIONSHIP_NOTE	Effects Database, Applied Rogue; Effects Database, Applied/Nomad Banshee; Tone Machines Blog 2025 Applied article
Applied Audio Products Inc.	EVIDENCE_QUALIFIED	Guild FW-3 Fuzz Wah	OEM product	fuzz-wah	circa 1970	Tone Machines Blog states Applied Audio built the Guild FW-3 around 1970. Retain Guild as marketed brand and Applied as physical manufacturer.	VERIFIED_RELATIONSHIP	Tone Machines Blog, September 2025 Applied article
Applied Audio Products Inc.	EVIDENCE_QUALIFIED	Guild VW-1 Volume Wah	OEM product	wah/volume boundary	circa 1970	Applied-built Guild effect cited as part of the same approximately 1970 agreement. Boundary record, not central dirt count.	VERIFIED_RELATIONSHIP	Tone Machines Blog, September 2025 Applied article
Applied Audio Products Inc.	EVIDENCE_QUALIFIED	Guild SP-5 Siren & Surf	OEM product	sound-effect boundary	circa 1970	Applied-built Guild effect cited in same agreement. Keep outside central dirt count.	VERIFIED_RELATIONSHIP	Tone Machines Blog, September 2025 Applied article
Applied Audio Products Inc.	EVIDENCE_QUALIFIED	Guild Dimensional Reverb System	OEM product	reverb boundary	circa 1970	Rare Applied-built Guild product cited by Tone Machines Blog. Boundary record only.	VERIFIED_RELATIONSHIP	Tone Machines Blog, September 2025 Applied article
Applied Audio Products Inc.	EVIDENCE_QUALIFIED	Hohner Sound Modifier Series / Tri-Dirty Booster manufacturing relationship	OEM/manufacturing relationship	fuzz/boost	1970s	Tone Machines Blog identifies a later Hohner relationship and specifically calls out the MF-50 Tri-Dirty Booster. Do not merge Hohner branding into Applied's own catalog.	EVIDENCE_QUALIFIED	Tone Machines Blog, September 2025 Applied article; Effects Database Applied Rogue
Applied Audio Products Inc.	DISCOVERY	Vivant fuzz branding	private-label state	fuzz	1968-era	Tone Machines Blog describes Vivant as a likely name-only/house-brand state and notes a Vivant 3-knob example with Applied-era enclosure features. Factory attribution is strong by physical comparison but not fully documented by primary paperwork.	DISCOVERY_TO_EVIDENCE_QUALIFIED	Tone Machines Blog, September 2025 Applied article
Applied Audio Products Inc.	DISCOVERY	Crown fuzz rebranding	private-label state	fuzz	late 1960s	Tone Machines Blog identifies Crown among Applied Fuzz rebrandings. Preserve as marketed/private-label node rather than independent builder.	DISCOVERY_TO_EVIDENCE_QUALIFIED	Tone Machines Blog, September 2025 Applied article
Applied Audio Products Inc.	DISCOVERY	Scott Fuzz	private-label/unbranded state	fuzz	late 1960s-early 1970s	Mentioned as an example of an Applied-related unbranded/private-label fuzz; exact retail documentation remains thin.	DISCOVERY_ONLY	Tone Machines Blog, September 2025 Applied article
Applied Audio Products Inc.	DISCOVERY	Blank Applied fuzz	factory/unbranded state	fuzz	late 1960s	Tone Machines Blog documents a blank-logo example and uses it to support Applied's OEM/private-label manufacturing practice. Not a separate retail model.	DISCOVERY_ONLY	Tone Machines Blog, September 2025 Applied article
Applied Audio Products Inc.	DISCOVERY	Hilgen/Sano antecedent relationship	personnel/lineage	amplifier/effects engineering	pre-1968	Jack Gentul's Sano/Hilgen history is presented as a possible personnel/technical antecedent to Applied; the exact corporate formation chronology remains unresolved and should not be promoted to a merged entity.	RELATIONSHIP_UNRESOLVED	Tone Machines Blog, September 2025 Applied article
