inventory_id	builder	product	category	light_information	product_source	photo_source	collection_status
P1-004-011	Spiral Electric FX	Starbird Fuzzstortion	fuzz/distortion	Spiral Electric describes Starbird as a lower-gain fuzzstortion combining Fuzz Face-inspired and Green Russian Big Muff-inspired voices into its own hybrid design, with broad cleanup and multiple texture options.	https://www.spiralelectricfx.com/products/starbird-fuzzstortion	https://www.spiralelectricfx.com/products/starbird-fuzzstortion	INVENTORY
P1-004-012	Spiral Electric FX	2026 Ge Fuzz	fuzz	Current Spiral Electric germanium/silicon hybrid fuzz model in the builder's catalog.	https://www.spiralelectricfx.com/	https://www.spiralelectricfx.com/	INVENTORY
P1-004-013	Spiral Electric FX	Octina Octave Fuzz	fuzz	Current octave fuzz model in the Spiral Electric catalog, combining fuzz with octave coloration.	https://www.spiralelectricfx.com/	https://www.spiralelectricfx.com/	INVENTORY
P1-004-014	Spiral Electric FX	Yellow Spiral LM741 Overdrive	overdrive	Current LM741-based overdrive model in the Spiral Electric catalog.	https://www.spiralelectricfx.com/	https://www.spiralelectricfx.com/	INVENTORY
P1-004-015	Spiral Electric FX	Red Spiral Drive Channel	overdrive	Current MOSFET drive-channel model in the Spiral Electric catalog.	https://www.spiralelectricfx.com/	https://www.spiralelectricfx.com/	INVENTORY
P1-004-016	Spiral Electric FX	Demhe Fuzz	fuzz	Current compact fuzz model in the Spiral Electric catalog, with custom-option variants handled later during deep research.	https://www.spiralelectricfx.com/	https://www.spiralelectricfx.com/	INVENTORY
P1-004-017	Spiral Electric FX	Allora High-Gain Darlington Fuzz	fuzz	Current high-gain Darlington fuzz model in the Spiral Electric catalog.	https://www.spiralelectricfx.com/	https://www.spiralelectricfx.com/	INVENTORY
P1-004-018	Sunhaus	Ballam Dirt Fuzz	fuzz	A low-gain silicon fuzz with a warm, raw, gravelly character, Clean blend and two Weight voicings; documented as a small-batch Melbourne pedal.	https://www.effectsdatabase.com/model/sunhaus/ballam	https://www.effectsdatabase.com/model/sunhaus/ballam	INVENTORY
P1-004-019	Sunhaus	Djandek Geological Fuzz	fuzz	A fuzz focused on unstable bias, starved decay and broken textures, with Disintegration and Slump controls covering stable saturation through sputtering, fractured response.	https://www.effectsdatabase.com/model/sunhaus/djandek	https://www.effectsdatabase.com/model/sunhaus/djandek	INVENTORY
P1-004-020	Thorpy FX	KUDU	overdrive	A stacking-focused low-to-mid-gain overdrive developed with Dan Coggins, intended to push amps and interact with other gain stages while offering multiple clipping responses.	https://www.effectsdatabase.com/model/thorpyfx/kudu	https://www.effectsdatabase.com/model/thorpyfx/kudu	INVENTORY
P1-004-021	Warm Audio / Dirty Boy Pedals	Dirty Boy Jr. Overdrive	overdrive	An all-analog amp-simulator/preamp/overdrive derived from the Dirty Boy Preamp, with amp-like breakup, Variac-style sag control, preamp and speaker-emulated outputs.	https://www.warmaudio.com/products/dirty-boy-jr-overdrive	https://www.warmaudio.com/products/dirty-boy-jr-overdrive	INVENTORY
P1-004-022	Warm Audio / Dirty Boy Pedals	Dirty Boy Jr. Fuzz	fuzz	A vintage-style all-analog fuzz derived from the Dirty Boy Afro Fuzz, covering smoother overdrive through sustaining fuzz with dynamic cleanup and a six-position frequency selector.	https://www.warmaudio.com/products/dirty-boy-jr-fuzz	https://www.warmaudio.com/products/dirty-boy-jr-fuzz	INVENTORY
P1-004-023	Warm Audio / Dirty Boy Pedals	Dirty Boy Jr. Booster	boost boundary	A touch-sensitive boost derived from the Dirty Boy Ball Buster circuit, ranging from clean boost toward saturated British-style breakup; retained as a boundary record rather than a core OD/distortion/fuzz entry.	https://www.warmaudio.com/products/dirty-boy-jr-booster	https://www.warmaudio.com/products/dirty-boy-jr-booster	BOUNDARY
P1-004-024	O.C.E. Pedals	Tsar Bomba Fuzz & Octave	fuzz	A heavy, gritty Muff-style fuzz with switchable analog octave and boost stages, plus separate bass and treble controls for expanded voicing.	https://www.youtube.com/watch?v=eH76rRO6Z8g	https://www.youtube.com/watch?v=eH76rRO6Z8g	INVENTORY
