queue_id	builder	model	category_or_boundary	status	priority	source_refs	research_notes
MPD-0021	Tallon Electric	The Wolf	distortion/drive	DISCOVERY_SEED	P1	Effects Database; official site/social	Current model target; verify whether revisions exist.
MPD-0022	Tallon Electric	Dual Drive	overdrive	DISCOVERY_SEED	P1	Effects Database; official site/social	Dual-channel physical layout is useful identification metadata.
MPD-0023	Tallon Electric	Banshee	fuzz/distortion	DISCOVERY_SEED	P1	Effects Database; official site/social	Current dirt target; investigate limited/signature states.
MPD-0024	Spline Laboratories	Archangel	distortion/overdrive	DISCOVERY_SEED	P1	Effects Database; official site	2026 surfaced model; do not assume one-product catalog until builder sweep is complete.
MPD-0025	REVV Amplification	DirtDog	 overdrive	DISCOVERY_SEED	P0	https://revvamplification.com/products/dirtdog	2026 Joey Landreth collaboration; current Canadian-manufactured model with dedicated product page.
MPD-0026	ZVEX Effects	Fuzz Factory Vexter	fuzz	DISCOVERY_SEED	P0	https://www.zvex.com/	Current Vexter physical state; keep distinct from hand-painted Fuzz Factory.
MPD-0027	ZVEX Effects	Fuzz Factory	fuzz	DISCOVERY_SEED	P0	https://www.zvex.com/	Current hand-painted physical state; colors/details vary, so use specimen-aware photography.
MPD-0028	ZVEX Effects	Fat Fuzz Factory Vexter	fuzz	DISCOVERY_SEED	P0	https://www.zvex.com/	Vexter generation; visually distinct from hand-painted model.
MPD-0029	ZVEX Effects	Fat Fuzz Factory	fuzz	DISCOVERY_SEED	P0	https://www.zvex.com/	Hand-painted model; record artwork variance without splitting every finish into a separate model.
MPD-0030	ZVEX Effects	Woolly Mammoth Vexter	fuzz	DISCOVERY_SEED	P0	https://www.zvex.com/	Current Vexter state; keep distinct from hand-painted state.
MPD-0031	ZVEX Effects	Woolly Mammoth	fuzz	DISCOVERY_SEED	P0	https://www.zvex.com/	Current hand-painted state; preserve artwork variability as specimen metadata.
MPD-0032	ZVEX Effects	Box of Rock Vertical	distortion	DISCOVERY_SEED	P1	https://www.zvex.com/	Current vertical enclosure state; separate from older enclosure generations.
MPD-0033	Electro-Harmonix	Percolator	fuzz/distortion	DISCOVERY_SEED	P0	https://www.ehx.com/	2026 current-product target; distinguish from vintage Harmonic Percolator lineage.
MPD-0034	Fender Effects	Godzilla Distortion	distortion	DISCOVERY_SEED	P0	https://www.fender.com/products/godzilla-distortion	2026 limited product target; unique wrap-around artwork is visually diagnostic.
