canonical_builder	identity_status	region	era_bucket	model	category	catalog_status	relationship_notes	source_trail
Marshall Amplification	REVIVAL_REISSUE_ENTITY	United Kingdom	2023+	Guv'nor Vintage Reissue	 distortion	INDEXED_RELATIONSHIP	Modern vintage reissue, separate production state from original Guv'nor	https://www.marshall.com/us/en/amplifiers/pedals ; https://www.sweetwater.com/insync/marshall-pedals-history/
Marshall Amplification	REVIVAL_REISSUE_ENTITY	United Kingdom	2023+	DriveMaster Vintage Reissue	distortion	INDEXED_RELATIONSHIP	Modern vintage reissue, separate production state from original DriveMaster	https://www.marshall.com/us/en/amplifiers/pedals ; https://www.sweetwater.com/insync/marshall-pedals-history/
Marshall Amplification	REVIVAL_REISSUE_ENTITY	United Kingdom	2023+	ShredMaster Vintage Reissue	distortion	INDEXED_RELATIONSHIP	Modern vintage reissue, separate production state from original ShredMaster	https://www.marshall.com/us/en/amplifiers/pedals ; https://www.sweetwater.com/insync/marshall-pedals-history/
Marshall Amplification	REVIVAL_REISSUE_ENTITY	United Kingdom	2023+	Bluesbreaker Vintage Reissue	overdrive	INDEXED_RELATIONSHIP	Modern vintage reissue, separate production state from original 1991 Bluesbreaker	https://www.marshall.com/us/en/amplifiers/pedals ; https://www.sweetwater.com/insync/marshall-pedals-history/
Marshall Amplification	PHYSICAL_BUILDER_LINEAGE	United Kingdom	2020s	1959 Overdrive Pedal	 overdrive	DISCOVERY	Current official Marshall pedal catalog lists a 1959 Overdrive pedal in the current amp-inspired Overdrive series	https://www.marshall.com/us/en/amplifiers/pedals
Marshall Amplification	PHYSICAL_BUILDER_LINEAGE	United Kingdom	2020s	JCM800 Overdrive Pedal	overdrive	DISCOVERY	Current official Marshall pedal catalog lists a JCM800 Overdrive pedal; exact launch chronology and production location remain for deeper catalog work	https://www.marshall.com/us/en/amplifiers/pedals
Marshall Amplification	PHYSICAL_BUILDER_LINEAGE	United Kingdom	2020s	JCM900 Overdrive Pedal	overdrive	DISCOVERY	Current official Marshall pedal catalog lists a JCM900 Overdrive pedal	https://www.marshall.com/us/en/amplifiers/pedals
Marshall Amplification	PHYSICAL_BUILDER_LINEAGE	United Kingdom	2020s	JVM Overdrive Pedal	overdrive	DISCOVERY	Current official Marshall pedal catalog lists a JVM Overdrive pedal	https://www.marshall.com/us/en/amplifiers/pedals
Marshall Amplification	PHYSICAL_BUILDER_LINEAGE	United Kingdom	2020s	DSL Overdrive Pedal	overdrive	DISCOVERY	Current official Marshall pedal catalog lists a DSL Overdrive pedal	https://www.marshall.com/us/en/amplifiers/pedals
Selmer (UK)	PHYSICAL_BUILDER_LINEAGE	United Kingdom	1968-c.1971	Fuzz-Wah Effects Pedal v1	fuzz-wah	INDEXED_RELATIONSHIP	John Weir design, UK production; combined Fuzz, Wah and Repeat concept; documented November 1968 advertising	https://www.vintagehofner.co.uk/gallery/gallery3/wah.html
Selmer (UK)	PHYSICAL_BUILDER_LINEAGE	United Kingdom/Far East	1971+	Fuzz-Wah Effects Pedal v2	fuzz-wah	INDEXED_RELATIONSHIP	Second version documented from 1971 onward; Selmer later found Far East import cheaper, but exact factory remains unresolved	https://www.vintagehofner.co.uk/gallery/gallery3/wah.html
