builder	model	category	light_description	photo_source	status
KATANASOUND	Venomous Snake Octave Fuzz	Fuzz	Octave-fuzz catalog model documented under Katanasound's Japanese boutique range; retained pending deeper chronology.	https://www.guitarpedalx.com/news/gpx-blog/an-a-z-of-less-well-known-japanese-boutique-pedal-brands	CENTRAL_PENDING
KATANASOUND	Volcanic Eruption Octave Fuzz	Fuzz	Octave-fuzz catalog model documented under Katanasound's Japanese boutique range; retained pending deeper chronology.	https://www.guitarpedalx.com/news/gpx-blog/an-a-z-of-less-well-known-japanese-boutique-pedal-brands	CENTRAL_PENDING
ZENZERO ELECTRONICS	FuzU	Fuzz Distortion	Tokyo-made hand-built hybrid Muff-family fuzz combining two different Muff-era concepts with a mids control and MOSFET input/output stages; 2017 launch documentation and surviving product imagery are strong.	https://www.premierguitar.com/zenzero-electronics-introduces-the-fuzu ; https://www.guitarpedalx.com/news/gpx-blog/zenzeros-fuzu-is-a-beautifully-harmonic-extended-range-hybrid-take-on-a-big-muff	CENTRAL
ZENZERO ELECTRONICS	Habu Heavy Metal Distortion	Distortion	Zenzero catalog dirt model identified in Japanese boutique coverage; retained as a product record pending a stronger first-party archival source.	https://www.guitarpedalx.com/news/gpx-blog/an-a-z-of-less-well-known-japanese-boutique-pedal-brands	CENTRAL_PENDING
ZENZERO ELECTRONICS	Red Crown Vintage Overdrive & High Energy Distortion	Overdrive/Distortion	Dual-role Zenzero catalog model spanning vintage overdrive and higher-energy distortion; retained as a catalog record pending deeper product-page evidence.	https://www.guitarpedalx.com/news/gpx-blog/an-a-z-of-less-well-known-japanese-boutique-pedal-brands	CENTRAL_PENDING
QUIET SIGNAL	Death Metal Slime	Fuzz	Matsusaka one-person builder Quiet Signal's metal-slime-shaped fuzz; the builder's own about page identifies the product and the maker's direct role in circuit, PCB and enclosure design.	https://quietsignal.jp/about.html	CENTRAL
320DESIGN	Sunakake	Overdrive/Booster	Japanese handmade overdrive/booster documented by 320design with tube-saturation-style crunch, Bass/Tone shaping and a documented fuzz-like higher-gain edge; official page includes multiple product images.	https://320design.net/lineup-02/ ; https://320design.buyshop.jp/items/11319022	CENTRAL
320DESIGN	Brown Feather	Distortion	Japanese handmade distortion with broad gain range and independently documented Narrow/Wide tone controls; official sample/video pages and dealer records preserve product imagery.	https://320design.net/movie/ ; https://effectorpress.com/effector/4437/	CENTRAL
320DESIGN	Landmighty	Overdrive/Distortion	Multifunction 320design gain pedal with character, clipping and blend controls; Reverb documentation confirms the product's Japanese builder context and surviving retail examples.	https://320design.net/ ; https://applink.reverb.com/de/news/video-diving-into-japans-pedal-market-with-zenzero-electronics-bananana-effects-and-320design	CENTRAL
320DESIGN	Strung Fuzz	Fuzz	Official JoJo's Bizarre Adventure collaboration fuzz by 320design; retained as a relationship/signature product rather than a core conceptual family.	https://320design.net/ ; https://www.guitarpedalx.com/news/pedal-planet	RELATIONSHIP_ONLY
